,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,9,9,9,9
7,,0,,,,,,,2,,,3,,,3,,,,,,,1,,,,,2,,,4,,,,,,,,9,9,9,9
